Invoice_id,Customer_Id,Invoice_date,invoice_gross_value,Invoice_currency
675551,27480,2024-11-14,741144.24,KES
189559,71300,2024-07-22,665879.39,USD
668290,54074,2024-07-18,626048.2,USD
971896,19513,2024-09-06,813750.22,KES
4437,56351,2024-10-31,798452.99,KES
659536,51384,2024-08-23,841823.36,KES
841885,91986,2024-06-24,795834.46,KES
144118,11873,2024-06-09,906920.67,KES
19283,70385,2024-08-13,728988.32,KES
305869,44573,2024-06-12,591519.2,KES
332143,43739,2024-12-10,477047.51,KES
249943,42543,2024-06-07,957490.31,USD
733451,18097,2024-09-21,733324.13,USD
616118,99094,2024-05-06,747811.73,USD
595954,95853,2024-07-09,576418.87,KES
979388,93975,2024-08-13,815723.19,USD
327823,41009,2024-09-18,889147.02,USD
349426,63643,2024-11-11,459650.49,USD
437223,71226,2024-09-22,642447.81,KES
617364,44297,2024-06-23,772240.63,KES
851248,62210,2024-09-04,915717.66,USD
800362,72278,2024-09-02,895401.63,KES
181378,43417,2024-07-04,830284.64,USD
106101,48087,2024-05-13,842861.58,USD
506104,97813,2024-08-23,526917.39,USD
442778,93474,2024-08-21,738471.53,USD
661909,79523,2024-08-03,786157.29,USD
123038,68319,2024-12-04,608575.56,KES
323739,29794,2024-12-06,454087.3,USD
766287,13925,2024-05-26,771411.48,USD
749701,12915,2024-10-22,781870.27,USD
417036,26202,2024-12-26,839113.32,USD
989112,30028,2024-05-16,538549.27,KES
35616,61238,2024-07-31,485824.29,KES
499841,46579,2024-12-11,894951.19,KES
419447,21812,2024-12-17,940450.92,KES
782929,68232,2024-11-06,987132.36,KES
771675,32619,2024-10-21,961428.23,KES
640625,21795,2024-05-24,690649.68,KES
164192,92973,2024-08-09,504684.55,KES
475203,95007,2024-12-18,965505.88,KES
452813,30543,2024-11-09,532174.28,KES
490381,99277,2024-11-26,993675.89,KES
554457,31497,2024-10-09,823921.06,USD
262059,2137,2024-08-02,638761.66,USD
84076,19723,2024-10-22,505432.59,KES
500372,86182,2024-05-14,937071.03,USD
212116,72366,2024-10-13,759171.12,KES
423416,96460,2024-09-11,983488.44,KES
384922,5361,2024-11-09,859555.34,USD
234831,98013,2024-09-28,927675.4,USD
357890,44110,2024-06-21,667423.05,KES
665808,32065,2024-09-20,683077.65,USD
245605,27343,2024-11-11,691622.09,KES
194382,61937,2024-10-20,553143.53,KES
55237,78411,2024-05-12,495375.24,USD
127311,51347,2024-08-14,723811.98,USD
45698,33375,2024-09-01,465644.01,KES
694219,15225,2024-06-01,468847.55,KES
461267,52053,2024-08-29,521908.0,KES
119117,73733,2024-07-12,864018.23,USD
2366,39813,2024-12-20,695944.7,USD
232984,94436,2024-06-15,791821.44,KES
57518,50313,2024-06-18,477084.5,USD
582636,92240,2024-10-13,669943.03,KES
76318,82550,2024-09-08,747351.39,USD
680699,33968,2024-12-18,755990.12,KES
613410,43489,2024-06-24,760251.79,KES
2057,64260,2024-06-23,738363.29,USD
223795,63181,2024-05-01,836212.32,KES
144177,74373,2024-11-30,739207.97,USD
662775,57880,2024-12-24,731124.48,USD
57979,7698,2024-07-03,816658.51,USD
573344,69311,2024-07-07,808530.51,USD
376894,95711,2024-10-16,858740.16,USD
283704,33250,2024-05-13,745647.56,KES
454006,19063,2024-06-14,765695.08,USD
324531,5538,2024-06-03,591608.2,USD
865932,91087,2024-08-03,723788.41,USD
853646,9437,2024-06-19,846991.96,KES
703303,47044,2024-10-26,792590.88,USD
833441,48266,2024-08-29,932184.58,USD
162990,64706,2024-08-29,575685.39,KES
866959,85694,2024-07-09,760266.57,KES
195161,45628,2024-10-18,589823.04,KES
676579,19537,2024-08-10,798195.19,USD
868948,94762,2024-07-31,933055.76,KES
156799,31786,2024-09-28,651898.99,KES
100211,62293,2024-07-13,806552.38,USD
902350,36163,2024-12-15,473224.55,KES
28243,11678,2024-06-24,864248.81,KES
147272,84015,2024-07-08,673208.13,KES
554438,17577,2024-08-20,904214.15,USD
672156,41585,2024-07-31,841736.53,USD
511575,64170,2024-05-31,583959.19,KES
988292,78211,2024-10-28,756877.28,USD
689559,68421,2024-11-14,589162.65,USD
229595,91403,2024-05-25,959701.01,KES
325911,2178,2024-11-25,829068.44,KES
257339,6032,2024-06-29,647237.54,KES
792467,87010,2024-06-12,802526.59,KES
459511,62558,2024-06-25,450973.72,USD
346789,63757,2024-10-10,717159.08,KES
966620,67546,2024-06-27,998808.97,KES
728252,42819,2024-06-03,818015.73,USD
216016,11765,2024-07-26,711045.72,KES
336696,19928,2024-06-25,770582.89,USD
464274,53286,2024-07-04,531377.54,KES
205792,3372,2024-12-01,985984.34,USD
184683,62522,2024-08-23,831381.28,USD
496945,30616,2024-08-30,885259.28,KES
246234,48925,2024-09-26,957576.55,USD
519386,25382,2024-06-20,705102.21,USD
739459,67507,2024-12-09,831412.41,KES
915077,55678,2024-12-19,752098.6,USD
576084,3325,2024-07-05,897267.1,USD
234449,22945,2024-05-13,824717.77,KES
348377,53708,2024-05-04,636917.73,USD
670801,79900,2024-09-23,978988.48,USD
970224,22254,2024-09-14,650790.42,KES
879995,87132,2024-05-19,476762.21,KES
461722,82125,2024-11-21,884885.45,USD
481901,71952,2024-10-27,890040.55,KES
415536,88415,2024-05-29,921071.98,USD
986253,12915,2024-10-14,929189.48,USD
602882,26395,2024-05-17,930936.47,KES
750963,80897,2024-10-04,868252.12,USD
378155,21291,2024-06-28,935112.21,KES
48469,96893,2024-12-10,650168.2,USD
411918,60554,2024-11-06,661238.11,USD
990065,32362,2024-10-09,616186.98,USD
838926,40293,2024-06-21,752215.12,KES
57536,31485,2024-07-07,729645.0,USD
996498,61945,2024-05-06,935999.57,KES
380452,98994,2024-11-14,933541.39,KES
159171,89252,2024-10-25,548985.44,USD
189365,12762,2024-10-16,682668.16,USD
803313,61928,2024-11-30,852430.1,KES
878102,15478,2024-08-17,613668.04,KES
782690,89422,2024-07-10,997569.94,USD
465323,29046,2024-11-14,455889.13,KES
435225,95344,2024-10-29,872294.44,KES
830377,38901,2024-08-21,529478.77,USD
39769,34198,2024-11-10,928764.33,KES
178274,22175,2024-06-16,832720.4,USD
525750,78347,2024-11-27,621464.05,USD
188794,62201,2024-07-04,634177.63,KES
518329,9715,2024-10-12,713065.88,USD
793634,72742,2024-10-26,670690.02,USD
184563,21716,2024-12-13,868069.13,KES
627175,89546,2024-12-04,817023.03,USD
775075,82453,2024-09-19,883760.76,KES
22078,66598,2024-09-10,653651.35,USD
536596,40897,2024-07-11,662222.02,KES
886637,71300,2024-08-16,887669.96,USD
88662,65506,2024-06-21,671710.03,KES
204401,60138,2024-06-12,451847.56,KES
839626,38173,2024-06-19,892003.7,USD
966836,81078,2024-11-30,769893.76,KES
123061,16255,2024-12-16,640802.74,KES
272991,91405,2024-12-13,913819.54,KES
873782,26519,2024-05-23,679281.91,USD
93207,25695,2024-07-23,572629.64,KES
172715,91199,2024-07-31,516840.44,USD
391920,16230,2024-10-31,703603.02,KES
406175,38788,2024-11-24,688011.22,KES
760248,39716,2024-09-30,772275.6,USD
934485,6618,2024-10-06,969910.85,USD
184719,86694,2024-06-08,623634.62,USD
662149,8166,2024-06-18,989354.58,KES
403916,32706,2024-10-23,853408.36,USD
283603,36056,2024-06-23,817516.87,USD
920107,9847,2024-08-18,897486.61,USD
216400,99942,2024-07-23,695703.7,KES
753048,37868,2024-08-19,904183.13,KES
82252,83601,2024-11-20,986792.75,USD
246991,6026,2024-06-21,979873.25,KES
972875,50646,2024-05-22,522554.96,USD
526492,70805,2024-12-25,960497.05,USD
496199,66812,2024-05-05,973126.26,KES
708307,97663,2024-12-24,880770.97,USD
169217,16328,2024-09-22,728868.6,USD
781457,52482,2024-09-03,555231.06,KES
931841,17767,2024-05-12,932957.3,USD
531445,50479,2024-06-12,486676.88,KES
192800,79373,2024-06-02,839103.01,KES
314435,43194,2024-07-19,933246.34,KES
746028,68239,2024-11-19,531044.87,USD
126728,5763,2024-07-23,911198.96,KES
694711,12676,2024-09-08,996981.74,USD
881798,64428,2024-07-11,819725.65,KES
454066,89549,2024-09-04,856325.49,USD
637375,88859,2024-11-26,531622.82,KES
707641,35693,2024-09-26,598219.67,USD
160354,82622,2024-12-29,810931.22,USD
223611,27667,2024-05-30,976626.02,KES
932787,92019,2024-09-12,754231.1,USD
902918,86252,2024-11-19,541249.5,KES
602314,25988,2024-12-09,765697.85,USD
413077,77459,2024-12-20,772042.69,USD
421962,80884,2024-06-04,584820.28,USD
743143,25843,2024-05-25,657701.86,USD
127546,97985,2024-10-22,671444.35,USD
935642,65739,2024-09-04,766279.7,KES
927376,40154,2024-06-16,869690.06,USD
709614,62115,2024-09-16,556145.44,USD
302178,38380,2024-05-24,810692.81,USD
137640,70897,2024-06-09,471975.7,USD
882788,67637,2024-10-18,569450.1,KES
530949,12382,2024-12-23,949942.81,KES
297259,31445,2024-08-30,903402.87,USD
852337,42069,2024-08-25,569956.51,USD
453324,85203,2024-10-01,626767.38,USD
213709,34544,2024-06-13,567098.88,USD
447020,32183,2024-12-01,958737.16,KES
809926,15755,2024-07-27,512131.7,USD
417831,1211,2024-07-21,605560.21,KES
917068,87294,2024-07-26,505320.87,KES
693389,40562,2024-06-11,758536.26,KES
938428,32183,2024-07-24,577262.32,USD
125630,23637,2024-07-30,575945.6,KES
333630,50306,2024-05-06,767926.32,KES
619607,74143,2024-09-06,628351.24,USD
644346,33236,2024-09-24,531428.49,USD
774717,30783,2024-11-26,903711.58,USD
529253,16207,2024-07-08,656268.35,KES
263453,7956,2024-07-27,848272.98,USD
846992,71303,2024-10-05,605676.65,KES
272999,88846,2024-09-20,576593.26,KES
963092,16392,2024-08-09,926030.63,KES
298236,23094,2024-09-11,850885.33,KES
231853,50059,2024-06-19,585233.91,KES
853089,28492,2024-07-24,505191.4,USD
155538,65721,2024-08-13,920698.7,USD
298717,17624,2024-05-16,804530.63,KES
194164,1100,2024-05-11,609003.93,USD
720035,39257,2024-07-21,760112.25,USD
160251,36980,2024-12-01,997358.82,KES
942019,7709,2024-10-09,512966.17,USD
432177,8680,2024-05-19,858139.08,KES
282495,47459,2024-05-01,699402.55,KES
733142,8981,2024-09-21,659966.16,KES
365079,34017,2024-11-19,580851.8,KES
792265,1962,2024-11-02,995634.22,USD
519816,92065,2024-07-31,765406.99,USD
604477,8115,2024-07-06,946455.54,USD
554964,23943,2024-10-26,637442.65,KES
515146,12543,2024-09-10,602356.34,USD
138396,77093,2024-12-21,844714.01,USD
690335,89560,2024-10-07,818909.28,USD
163676,68155,2024-11-18,567736.54,KES
219509,6573,2024-05-07,644536.41,USD
73519,34704,2024-06-18,540218.34,KES
768711,9437,2024-11-02,698695.47,KES
237355,34906,2024-10-16,833117.18,KES
547419,46578,2024-09-24,577535.22,KES
436061,80851,2024-06-15,802021.23,KES
397506,21800,2024-08-16,954560.85,KES
150688,76002,2024-10-31,736346.9,USD
485696,52071,2024-08-16,950995.1,KES
393364,89530,2024-11-10,700984.23,USD
668936,49801,2024-07-22,826546.42,KES
899105,88010,2024-11-24,824229.81,KES
380979,38541,2024-06-14,614550.61,KES
796826,17630,2024-08-02,779647.95,USD
890397,24487,2024-12-22,759550.06,USD
383977,34130,2024-06-09,553841.39,KES
659178,13403,2024-08-29,953042.36,USD
447727,11496,2024-07-20,692597.72,USD
189406,41996,2024-09-09,573122.88,USD
991728,13044,2024-10-19,939122.88,USD
91266,9875,2024-09-05,901895.07,USD
840605,58852,2024-08-20,590673.64,USD
837839,50677,2024-08-18,721122.13,USD
550630,37412,2024-12-21,747616.0,KES
781641,79519,2024-12-17,915839.95,USD
798617,7009,2024-10-18,764601.67,KES
734950,56065,2024-07-19,740942.5,KES
62336,20990,2024-09-10,897174.63,KES
603956,52462,2024-06-16,844893.2,KES
501855,99635,2024-06-03,970860.6,KES
745514,80993,2024-08-12,829262.18,KES
686554,35091,2024-11-12,931763.55,USD
893635,98243,2024-07-12,933913.27,KES
779993,22801,2024-10-18,934202.29,USD
236882,92079,2024-06-10,849497.99,KES
73216,6584,2024-10-28,985427.28,KES
113972,45731,2024-07-22,455692.92,KES
498293,61344,2024-12-01,880280.14,KES
707750,61928,2024-06-20,942323.16,KES
30004,16394,2024-07-23,983456.07,USD
406641,14442,2024-07-25,702749.66,KES
666010,85206,2024-11-06,884113.05,KES
755998,35541,2024-05-25,637033.82,KES
383562,3617,2024-06-18,703004.33,KES
96145,14641,2024-12-05,765038.95,KES
219004,21773,2024-10-06,452157.52,KES
683773,46261,2024-10-26,670589.51,USD
813491,3316,2024-10-03,856891.69,USD
254852,76569,2024-08-01,796399.7,KES
448761,7387,2024-08-12,980142.56,KES
588425,6997,2024-08-02,887054.56,KES
596439,34835,2024-07-11,739595.91,USD
527635,25395,2024-09-20,886886.02,KES
709722,74215,2024-07-23,790881.02,USD
801655,89252,2024-06-23,925414.2,KES
329527,17018,2024-11-13,762338.96,KES
742519,66701,2024-10-27,680836.93,USD
101205,68925,2024-07-10,897270.43,KES
791567,50331,2024-05-30,753391.29,KES
771444,86156,2024-08-09,780730.85,KES
564362,50409,2024-07-29,627657.23,USD
390660,96986,2024-06-11,564034.18,USD
755392,57413,2024-12-15,869840.81,KES
243562,79500,2024-05-29,697697.78,USD
767843,70056,2024-12-26,670329.81,USD
908660,75830,2024-05-31,484872.82,KES
329663,35571,2024-07-18,567963.13,USD
119283,92353,2024-05-24,996226.62,USD
296799,5889,2024-11-14,909342.31,KES
471421,6745,2024-12-30,891152.54,USD
161138,1172,2024-07-23,758486.42,KES
728954,64954,2024-07-05,955854.15,USD
975149,30543,2024-09-21,680698.18,KES
923635,24753,2024-06-14,524638.0,KES
124030,9688,2024-10-14,906780.45,USD
2999,14218,2024-11-05,538088.3,KES
717833,88194,2024-09-22,650679.44,KES
707329,52702,2024-11-18,912980.02,KES
904070,45179,2024-12-07,863836.18,USD
408639,1645,2024-06-08,502915.02,KES
236314,11358,2024-08-17,806801.4,USD
132512,3617,2024-12-04,717230.51,KES
218919,32699,2024-07-13,850587.29,KES
19792,19090,2024-05-12,776699.53,KES
27985,40197,2024-08-25,701437.61,KES
903154,80521,2024-06-21,966726.23,USD
795728,84466,2024-08-31,597742.45,KES
390894,38923,2024-05-10,926748.88,KES
59562,60138,2024-10-15,814674.86,USD
585486,6090,2024-10-13,701648.82,KES
332115,66731,2024-11-02,802297.12,USD
955869,27013,2024-05-28,940283.64,KES
365336,41629,2024-07-24,988590.25,USD
49442,52482,2024-08-25,592415.56,KES
321629,17059,2024-05-14,707999.61,USD
738299,20213,2024-09-26,575995.37,KES
268673,2464,2024-08-13,544086.2,USD
355207,40293,2024-10-30,912079.6,KES
747849,60806,2024-06-28,452969.18,KES
658023,70014,2024-06-17,608475.88,KES
242827,86492,2024-11-24,673956.95,KES
214084,57035,2024-10-19,614160.82,KES
772635,95372,2024-07-19,462196.13,USD
895139,72888,2024-07-23,462109.46,KES
934217,41142,2024-07-10,536085.32,KES
801264,79073,2024-07-17,735951.12,USD
995880,99358,2024-10-28,648358.83,USD
132843,60802,2024-09-08,782198.18,KES
32398,69448,2024-12-13,560317.81,USD
623736,4108,2024-09-20,610405.4,USD
26376,94083,2024-05-03,756232.08,KES
333571,27816,2024-06-09,860332.61,KES
415091,9830,2024-10-28,492106.5,USD
724260,41422,2024-12-27,559411.65,KES
18325,5880,2024-10-17,781614.2,KES
90150,9450,2024-10-14,952960.74,KES
529407,23276,2024-08-28,903364.77,KES
291263,4288,2024-10-18,619315.94,KES
964072,66191,2024-10-20,669079.32,KES
540192,80838,2024-06-30,707042.66,USD
305913,65222,2024-12-11,556780.99,USD
54719,28710,2024-05-08,808591.21,KES
272500,63711,2024-10-29,571423.31,KES
734816,84276,2024-10-31,685052.11,USD
740394,47279,2024-11-14,820112.18,USD
446279,9509,2024-07-31,902970.25,KES
55260,87810,2024-09-30,724784.43,USD
21402,52195,2024-09-29,724557.05,KES
277274,89521,2024-10-15,942606.15,USD
597031,27816,2024-08-11,725974.7,KES
132622,85671,2024-08-30,945716.57,USD
849905,54246,2024-06-28,796662.43,USD
244753,33319,2024-10-21,903351.65,KES
628684,14492,2024-09-08,488074.72,USD
678843,85423,2024-12-22,516280.86,USD
645980,41867,2024-10-19,890585.31,KES
196231,98224,2024-08-10,808280.87,KES
582461,33552,2024-10-26,962283.03,KES
801322,15758,2024-05-17,874096.34,USD
262579,60787,2024-05-25,762163.58,USD
32675,81688,2024-07-19,872792.63,KES
585541,79982,2024-09-15,881209.44,KES
41832,95602,2024-08-26,935979.44,USD
578831,88505,2024-05-28,803924.9,KES
44772,98674,2024-09-24,991117.92,USD
765100,49537,2024-07-19,447814.31,KES
835911,12543,2024-10-08,582696.21,KES
774767,78218,2024-09-14,806220.2,USD
118240,4889,2024-11-30,956399.58,USD
256143,52966,2024-07-04,860788.33,USD
779846,72914,2024-09-24,470427.98,USD
802560,65971,2024-08-16,588564.49,USD
712346,1110,2024-05-02,846878.28,USD
835095,24834,2024-12-15,724940.2,KES
611850,77014,2024-05-03,740946.71,KES
574348,42153,2024-08-05,513245.42,KES
568488,77680,2024-12-06,828371.04,USD
891241,31413,2024-07-11,815279.51,KES
616749,87175,2024-06-27,964182.12,KES
420056,50568,2024-10-24,752847.14,KES
67905,67652,2024-12-29,816550.25,KES
379386,51204,2024-12-25,785318.0,USD
554008,71764,2024-07-24,942266.8,KES
415199,91302,2024-10-14,721165.37,KES
367850,66470,2024-08-03,947184.0,USD
44895,90551,2024-11-22,506297.62,USD
584473,31948,2024-06-14,843042.32,KES
585278,35196,2024-11-15,856185.77,USD
733416,93671,2024-10-14,569927.66,USD
140142,23084,2024-06-05,539887.38,KES
61908,41009,2024-07-03,592503.75,KES
252366,6056,2024-08-25,788549.08,KES
751690,15869,2024-10-30,605068.47,KES
444283,42973,2024-08-30,911643.6,KES
564620,50263,2024-12-01,909226.1,KES
714862,41867,2024-09-10,679047.26,KES
118751,17763,2024-11-19,725228.97,USD
407578,7566,2024-08-25,887280.25,USD
273405,50157,2024-10-21,999894.06,USD
19829,64488,2024-11-14,842944.61,KES
689065,80755,2024-05-14,589195.5,KES
292367,25512,2024-09-23,530398.8,USD
970835,32604,2024-05-09,943627.67,USD
540145,2370,2024-05-20,948356.48,USD
354234,11524,2024-11-23,449574.33,USD
519717,18937,2024-09-21,604439.53,USD
478503,40435,2024-06-17,923358.94,USD
440406,62528,2024-07-20,686463.99,USD
528900,74853,2024-07-14,968513.6,KES
518348,99172,2024-06-08,910664.66,USD
945935,87008,2024-08-12,901549.46,KES
704166,85036,2024-07-20,780641.0,KES
688331,45728,2024-09-07,651573.32,KES
552913,39263,2024-09-25,706939.9,USD
826831,97695,2024-12-17,577679.23,KES
182243,22886,2024-09-24,731030.65,KES
597119,93286,2024-10-27,487330.42,KES
152625,1545,2024-08-17,666830.29,USD
539409,83142,2024-06-07,785287.09,KES
410355,43739,2024-06-04,578040.41,USD
474648,82669,2024-07-27,917770.19,USD
38822,53704,2024-07-06,860344.8,KES
103533,90875,2024-08-30,619374.36,KES
992232,37195,2024-11-21,947954.71,KES
613637,77008,2024-05-14,762374.55,KES
94891,15341,2024-12-10,603398.97,USD
843605,49658,2024-08-22,858887.59,KES
632382,51201,2024-09-15,864351.84,KES
167301,60744,2024-11-01,569401.09,USD
231940,60417,2024-06-23,747326.81,KES
142895,34689,2024-11-29,944870.8,KES
150383,45175,2024-11-09,581581.55,USD
687285,73023,2024-10-05,816369.44,KES
273243,69456,2024-12-18,480540.8,KES
581012,6258,2024-06-24,493643.52,USD
972195,79900,2024-09-01,736578.1,KES
460653,96458,2024-10-09,705554.51,USD
148733,94868,2024-08-31,727330.09,KES
508761,60308,2024-10-27,482790.41,USD
415260,54398,2024-07-11,592947.09,KES
182763,99104,2024-10-10,950499.45,USD
834112,22886,2024-12-23,795830.71,KES
917831,32635,2024-09-11,567097.95,KES
776855,7880,2024-06-23,829784.78,USD
644489,54355,2024-12-10,569618.3,KES
622165,82453,2024-11-20,572429.24,KES
356823,9688,2024-11-02,838484.83,KES
286329,8439,2024-09-21,839603.59,KES
327168,57818,2024-10-29,867518.19,USD
656346,3325,2024-09-05,748372.56,KES
153055,54350,2024-09-03,939688.18,KES
366172,69167,2024-08-24,563984.59,KES
554976,96235,2024-06-13,756911.57,USD
238546,75375,2024-10-20,897831.82,USD
620970,20795,2024-08-14,985862.03,KES
77818,97759,2024-12-09,711556.84,USD
913731,10872,2024-11-28,777868.26,KES
376344,94791,2024-12-24,883708.98,USD
905813,70189,2024-11-02,608592.49,KES
574634,60022,2024-12-03,516408.56,KES
995004,91673,2024-09-22,805018.93,USD
335768,21160,2024-08-19,835647.4,USD
532694,30313,2024-11-24,784336.93,KES
905843,18890,2024-09-29,957687.74,KES
647976,20494,2024-07-10,466481.62,KES
270029,28719,2024-12-10,952300.41,USD
891861,27399,2024-10-29,461642.4,KES
387369,54674,2024-08-25,455537.71,KES
470912,36954,2024-06-22,901085.47,USD
913554,30623,2024-07-26,929581.84,KES
38627,18732,2024-12-12,782237.44,KES
762951,8342,2024-09-11,991920.13,KES
591349,43450,2024-05-27,843639.36,KES
437862,89758,2024-05-30,812385.89,USD
992199,65159,2024-12-27,939054.91,USD
728923,58472,2024-12-20,601899.35,KES
480716,96586,2024-11-25,716172.17,KES
841475,10219,2024-07-30,914727.57,KES
601361,49801,2024-10-10,604624.72,KES
366115,92097,2024-05-24,733934.9,USD
683335,83430,2024-09-23,753969.12,USD
472735,9056,2024-12-13,592734.99,KES
221665,97343,2024-08-28,778481.04,USD
863866,76038,2024-06-02,882834.68,USD
901027,81523,2024-11-11,838271.51,KES
213559,66151,2024-09-23,772084.52,KES
28872,92353,2024-06-25,552606.84,KES
291747,85926,2024-12-15,468775.55,USD
